ntasks,algo,A,r,R,i_flag,S_flag,total_time_s
2,hilbert,0.25,0.85,1.2,False,False,84.729711
2,hilbert,0.25,0.85,1.2,True,False,84.911014
2,hilbert,0.5,0.6,1.6,False,False,84.759545
2,hilbert,0.5,0.6,1.6,True,False,84.516315
2,hilbert,0.05,0.92,1.08,False,False,84.739578
2,hilbert,0.05,0.92,1.08,True,False,85.431155
2,rcb,0.25,0.85,1.2,False,False,84.683674
2,rcb,0.25,0.85,1.2,True,False,85.787985
2,rcb,0.5,0.6,1.6,False,False,84.701078
2,rcb,0.5,0.6,1.6,True,False,85.285381
2,rcb,0.05,0.92,1.08,False,False,84.697725
2,rcb,0.05,0.92,1.08,True,False,86.337838
4,hilbert,0.25,0.85,1.2,False,False,45.228371
4,hilbert,0.25,0.85,1.2,True,False,45.837465
4,hilbert,0.5,0.6,1.6,False,False,45.480521
4,hilbert,0.5,0.6,1.6,True,False,46.621637
4,hilbert,0.05,0.92,1.08,False,False,44.931772
4,hilbert,0.05,0.92,1.08,True,False,46.395797
4,rcb,0.25,0.85,1.2,False,False,44.747645
4,rcb,0.25,0.85,1.2,True,False,45.356161
4,rcb,0.5,0.6,1.6,False,False,44.970067
4,rcb,0.5,0.6,1.6,True,False,45.308683
4,rcb,0.05,0.92,1.08,False,False,44.580878
4,rcb,0.05,0.92,1.08,True,False,45.720716
8,hilbert,0.25,0.85,1.2,False,False,24.463883
8,hilbert,0.25,0.85,1.2,True,False,24.700547
8,hilbert,0.5,0.6,1.6,False,False,24.700945
8,hilbert,0.5,0.6,1.6,True,False,24.907584
8,hilbert,0.05,0.92,1.08,False,False,24.181126
8,hilbert,0.05,0.92,1.08,True,False,25.497914
8,rcb,0.25,0.85,1.2,False,False,23.903891
8,rcb,0.25,0.85,1.2,True,False,24.322942
8,rcb,0.5,0.6,1.6,False,False,24.395246
8,rcb,0.5,0.6,1.6,True,False,24.48434
8,rcb,0.05,0.92,1.08,False,False,23.831257
8,rcb,0.05,0.92,1.08,True,False,25.164628
16,hilbert,0.25,0.85,1.2,False,False,13.036048
16,hilbert,0.25,0.85,1.2,True,False,13.137536
16,hilbert,0.5,0.6,1.6,False,False,13.026213
16,hilbert,0.5,0.6,1.6,True,False,13.070002
16,hilbert,0.05,0.92,1.08,False,False,13.027915
16,hilbert,0.05,0.92,1.08,True,False,13.218641
16,rcb,0.25,0.85,1.2,False,False,12.961696
16,rcb,0.25,0.85,1.2,True,False,13.103504
16,rcb,0.5,0.6,1.6,False,False,12.960021
16,rcb,0.5,0.6,1.6,True,False,13.006979
16,rcb,0.05,0.92,1.08,False,False,12.958515
16,rcb,0.05,0.92,1.08,True,False,13.095803
32,hilbert,0.25,0.85,1.2,False,False,8.197682
32,hilbert,0.25,0.85,1.2,True,False,8.031087
32,hilbert,0.5,0.6,1.6,False,False,8.245282
32,hilbert,0.5,0.6,1.6,True,False,8.323006
32,hilbert,0.05,0.92,1.08,False,False,8.105033
32,hilbert,0.05,0.92,1.08,True,False,8.27742
32,rcb,0.25,0.85,1.2,False,False,8.113602
32,rcb,0.25,0.85,1.2,True,False,7.926057
32,rcb,0.5,0.6,1.6,False,False,8.378999
32,rcb,0.5,0.6,1.6,True,False,8.058934
32,rcb,0.05,0.92,1.08,False,False,8.089663
32,rcb,0.05,0.92,1.08,True,False,7.968014
64,hilbert,0.25,0.85,1.2,False,False,4.962819
64,hilbert,0.25,0.85,1.2,True,False,5.019297
64,hilbert,0.5,0.6,1.6,False,False,4.920246
64,hilbert,0.5,0.6,1.6,True,False,4.978912
64,hilbert,0.05,0.92,1.08,False,False,5.553046
64,hilbert,0.05,0.92,1.08,True,False,5.038563
64,rcb,0.25,0.85,1.2,False,False,4.972662
64,rcb,0.25,0.85,1.2,True,False,4.980579
64,rcb,0.5,0.6,1.6,False,False,4.954252
64,rcb,0.5,0.6,1.6,True,False,4.965744
64,rcb,0.05,0.92,1.08,False,False,4.95846
64,rcb,0.05,0.92,1.08,True,False,5.011821
2,hilbert,,,,False,True,84.730909
2,rcb,,,,False,True,84.698971
4,hilbert,,,,False,True,45.889148
4,rcb,,,,False,True,45.27352
8,hilbert,,,,False,True,24.707994
8,rcb,,,,False,True,24.343151
16,hilbert,,,,False,True,13.025323
16,rcb,,,,False,True,12.961562
32,hilbert,,,,False,True,8.184151
32,rcb,,,,False,True,8.322251
64,hilbert,,,,False,True,4.930114
64,rcb,,,,False,True,4.950832
